C12,C6,F(EYFP/OD),F(ECFP/OD),F(mRFP1/OD),F(EYFP/ECFP),F(EYFP/mRFP1),F(ECFP/mRFP1),P(EYFP/OD),P(ECFP/OD),P(mRFP1/OD),P(EYFP/ECFP),P(EYFP/mRFP1),P(ECFP/mRFP1),mu,K,lag
25000,25000,48145.5985108236,27633.9435287041,66.0070026698843,1.77942891987943,746.752634207776,418.156353837502,3.87605680639183,2.39616683949194,0.00531402453976374,1.65211395685058,746.752634207776,450.380257345096,0.00745720697261863,3.49689924850175,48.5839267773172
2500,25000,20356.1407584012,38315.9494905187,64.2063379583373,0.522099612666236,322.179522239666,609.134364332145,1.94635060105012,3.97149554198756,0.00613908333409714,0.481619998478358,322.179522239666,660.331416229174,0.00855634376161243,3.44565751087941,44.4080625466905
250,25000,4676.23120844189,36677.7218459428,64.9467324775519,0.12338441073521,71.8530269972027,573.293405729108,0.53630992557446,4.59174368157463,0.00744864308643671,0.113032898792336,71.8530269972027,625.795408239709,0.0098534132523464,3.35234244979632,57.4698479589015
25,25000,2077.88923955178,34635.5935449608,67.5771313954744,0.0576044268829349,30.6220570167239,522.202153747414,0.231460941596668,4.20678106501787,0.00752757469718275,0.0528304008096892,30.6220570167239,569.391019614167,0.00963566527911398,3.33211221629837,36.9726893709259
2.5,25000,2051.20222058002,39118.5264519498,73.7138658441788,0.0507312953470868,27.564473071262,536.545608259207,0.22036047133438,4.57593370659904,0.00791907402318886,0.0465912035326962,27.564473071262,584.22302185601,0.00937051442890588,3.31948752132848,52.0613513064529
25000,0.0,32905.4881634101,2475.43700605824,78.9628633122166,12.9651236884236,416.556820611923,31.5992957452274,3.09936316986101,0.252614333195355,0.00743750067226752,11.9667077462482,416.556820611923,34.2357134887327,0.00845559890947761,3.15711251222103,12.0626806210158
25000,2500,32771.2472871595,17114.934271753,64.3458393114721,1.87381006897165,516.202177110114,271.291467819949,3.08049571631254,1.74289688313426,0.00604850589373785,1.72964409599138,516.202177110114,293.903633241812,0.00844213015955969,3.39847761405704,21.6716075182005
2500,2500,19926.9985796088,20996.883056798,57.977820419039,0.903539351680555,347.31078120789,374.269254529596,2.12204030864405,2.43384695131725,0.00617409949847762,0.830080814044325,347.31078120789,407.390453881251,0.00930710848903711,3.39006210755112,20.397289685893
250,2500,4787.46207233877,24323.8570237957,66.914456789726,0.185060266447347,70.9856868663156,372.525618883952,0.512538028006524,2.8350966733209,0.00716375465954962,0.16998026419541,70.9856868663156,405.574674303798,0.00934545939910817,3.18681590278833,32.3271759723053
25,2500,1494.10046568154,22091.9543750628,63.9069334959027,0.0618420493757435,22.6388624292755,352.929632018317,0.171433557977875,2.76702506241341,0.00733270167589465,0.0566527447378597,22.6388624292755,385.257445697136,0.00985681653518889,3.17829794905667,31.8414126879868
2.5,2500,1290.59700181669,23273.5119197093,67.875505168377,0.0511878575140977,18.621434637778,349.414503629996,0.139215466215825,2.73399873645639,0.00732166592929398,0.0470031971307947,18.621434637778,380.522622225059,0.00940008640243177,3.17895777036631,27.3771123142694
2500,0.0,20162.8231620618,1203.24822436131,67.1944242527224,16.1282786363618,301.62652347174,18.2655999384125,2.42127382251736,0.158003326751531,0.00806911309763255,14.7492379347369,301.62652347174,19.9734173772609,0.0102046924113614,3.11691506628954,0.0139122907142476
25000,250,29732.6566198522,7579.9960282677,66.3636587871277,3.70920652431234,451.302188659452,117.094957237349,3.11391701601805,0.863561538982427,0.0069503014474823,3.40980875019529,451.302188659452,127.376463364397,0.00918768684142978,3.21240160260549,33.9437099941998
2500,250,19587.3445745718,8535.55186726614,62.4069713325803,2.12993548795853,313.031966075547,141.134447395233,2.1685672908975,1.03014765393518,0.00690924266127942,1.95387113529083,313.031966075547,153.852146465012,0.00959045121653064,3.11993164477146,31.3335575227179
250,250,4797.54791433767,6262.25005288404,66.481931521127,0.716133935988692,70.8732876975567,95.8894943393253,0.596565214279567,0.852641149921711,0.00826689142699183,0.654028955646362,70.8732876975567,104.994924778707,0.0104776198573155,3.04719432580277,34.8054965249536
25,250,1347.33823410777,6945.81565974884,80.3007470933538,0.175550159168456,16.0715087485252,88.2599525904887,0.149036057094553,0.837517528869839,0.00888248134401502,0.161044276040625,16.0715087485252,96.2098691514631,0.00958395637426429,2.85406902672385,36.6842657525393
2.5,250,1082.37002459208,7577.29760750237,82.3649039322281,0.127712511062573,12.1475359615611,92.6224734045209,0.116209810072901,0.885816084817227,0.008843195603319,0.117292775225908,12.1475359615611,100.850616216854,0.0093662110113733,2.98615023302078,26.5435101233248
250,0.0,5404.39320872015,1414.86135121744,93.1394524000961,3.76926546160869,56.4795709705235,14.8897146890308,0.562124749003109,0.160043084007955,0.00968767246954072,3.4659274201589,56.4795709705235,16.1928628349633,0.00913875073991205,3.05227180062872,12.8911602092212
25000,25,32418.9228406407,4835.4474980299,73.0205858336651,6.35774470632411,444.895009606052,67.6293314788317,3.24231647040034,0.525149821782766,0.00730301402333995,5.85481742059622,444.895009606052,73.4386733716445,0.00886372155017856,3.16487911092652,26.942956607111
2500,25,22112.6577700864,1864.99454810487,71.8278240646198,11.5685950360289,307.31743600866,26.2064809082048,2.31323068682343,0.212220680265058,0.00751399169297523,10.6352691037476,307.31743600866,28.5062993694831,0.00917955927435199,3.1170987131439,16.7855451193136
250,25,4791.08210038733,1405.36593714964,72.8602375189294,3.31818704746865,64.558402279244,19.2429618475733,0.522449014731942,0.166962521244212,0.00794512774093824,3.04566122313112,64.558402279244,20.9648224407269,0.00947912225994986,2.73211985211539,32.273079145968
25,25,1378.44128480602,1708.39322231807,92.9557694227491,0.751953227545329,13.4794466660357,17.9493368747338,0.146316227723215,0.197362725580637,0.00986689652795735,0.690904079915944,13.4794466660357,19.5353627046124,0.00928379162098946,2.86301383589522,34.0663772702529
2.5,25,969.63674996244,1441.53896085763,78.7336291245459,0.622737076183206,11.3642262678209,18.1439932925825,0.114904348558444,0.186703269966487,0.00933012941655575,0.569779187082661,11.3642262678209,19.8303791880543,0.010102295387773,2.93852945507045,35.0813483224301
25,0.0,1342.43345095476,1621.42143721254,113.498540435656,0.800805937399167,11.057936653084,13.9165650268781,0.104948993859306,0.136379107935328,0.0088731084693623,0.744322013722731,11.057936653084,14.9726431521035,0.00728124182690917,2.56642677825848,14.0690455345382
25000,2.5,36723.2694992358,5209.2627348532,80.2244713364472,6.72340990589083,459.521587467378,66.5039160754565,3.7604752632206,0.579771394357928,0.00821501309876391,6.18600781749099,459.521587467378,72.2813648663657,0.00902838506174159,3.09922427317753,50.4388172453491
2500,2.5,23297.7179624514,1446.74837599181,74.2793020329646,16.0359810967241,310.452607835856,19.1375092611056,2.27349508940814,0.153164504226304,0.00724850514066573,14.7812460609691,310.452607835856,20.7620342347072,0.008694645006255,2.57926379764642,72.4306599498565
250,2.5,5679.19385537243,1422.07706982463,92.4311847619683,3.96535685839582,58.6459455698743,14.6972338116056,0.475947966191683,0.128554702121346,0.00774624630193426,3.67612463068514,58.6459455698743,15.8535911453674,0.00770330346434989,2.16635988483434,78.7215125003382
25,2.5,1263.45123658323,1465.47997820898,95.7683687295445,0.8331086686896,12.3106847419986,14.8334047500157,0.163749854106341,0.208298851304161,0.0124120788783858,0.759656231521442,12.3106847419986,16.2676715738502,0.0108091491033885,3.0384401953582,65.0626141732557
2.5,2.5,994.152495574058,1465.44451163597,98.4043466056986,0.63545640310341,9.00315071229293,14.2851473037321,0.103325028863249,0.16563285362025,0.0102274369360526,0.584334035078521,9.00315071229293,15.534929986086,0.00913330504199037,2.69579267828306,48.7679722414096
2.5,0.0,1065.92442986454,1583.43734148628,105.563157499862,0.632642150706119,9.10504910923084,14.5617989710447,0.104103881998105,0.167779744913232,0.010309862673013,0.583122750033217,9.10504910923084,15.7984023409601,0.00870030257090782,2.80833983780261,24.7464665576605
0.0,25000,2201.27870757117,43547.9778608078,74.6390790631268,0.049398010920438,29.2564650590486,584.679824124054,0.235864245362197,5.08023399406365,0.00799748346140968,0.0453712576288023,29.2564650590486,636.570856671715,0.00935155531941349,3.33803883216723,65.5477656165423
