C12,C6,F(EYFP/OD),F(ECFP/OD),F(mRFP1/OD),F(EYFP/ECFP),F(EYFP/mRFP1),F(ECFP/mRFP1),P(EYFP/OD),P(ECFP/OD),P(mRFP1/OD),P(EYFP/ECFP),P(EYFP/mRFP1),P(ECFP/mRFP1),mu,K,lag
25000,25000,880.601056111119,8701.63207467975,53.8734194444882,0.0861093059244567,16.4509296969856,172.910643763014,0.15606650037958,1.71150977391971,0.00954783778401641,0.0775893138636018,16.4509296969856,191.897759884288,0.0135931489842564,3.23898921346074,79.2950108316828
2500,25000,968.263259238813,10610.7625385965,54.7995002372894,0.0790113446731666,17.6887955467462,204.774813367171,0.182376100742617,2.22311370148519,0.0103216961715326,0.0710311500638181,17.6887955467462,227.780816512198,0.0141958162589264,3.24191940003436,97.8282477588155
250,25000,1106.97072717307,14063.0763315937,61.3540591720332,0.0693244694705931,18.0511065662699,242.691492427896,0.191990373526979,2.70469472492422,0.0106411022881487,0.0625161107314558,18.0511065662699,269.121971292512,0.0133842062631572,3.21416503108333,104.067229282577
25,25000,1192.44762786724,16254.829682387,67.5890476132592,0.0645712983038197,17.7420558502855,255.035714179283,0.198034230290754,2.98859077981183,0.0112247655220855,0.0583252273647425,17.7420558502855,282.347586498275,0.0129725520475225,3.18060920262357,107.608575467869
2.5,25000,1501.44430382606,25707.7462482171,85.7893860798719,0.05394185129028,17.3243052333076,308.18379994844,0.220303570041098,4.15639960144944,0.0125876850555619,0.048953626019428,17.3243052333076,339.586789756793,0.0118526719816928,3.26321616892605,128.913632864232
0.0,25000,1258.50932173757,17956.9203590284,70.3363252849523,0.0622196129746349,17.8945633954063,268.106269595844,0.199044728316083,3.13838185439957,0.0111243313937203,0.0563050853130672,17.8945633954063,296.269302098991,0.0125213947061354,3.23393120818548,106.502956266201
25000,2500,1641.04401376122,3403.11298948051,52.4872873669647,0.397680047825433,31.6458592863019,70.0919275487339,0.361444838413712,0.838609750766029,0.011560481584918,0.355444715034253,31.6458592863019,78.4205248264028,0.0158431959328147,3.20000101164207,108.149273878728
2500,2500,830.507413321427,6424.31092803597,52.0459076609082,0.108084457127926,15.8851953778578,129.534901933399,0.16710986992283,1.4414365548642,0.0104723747431065,0.0969288039443539,15.8851953778578,144.443230338715,0.0148735628523929,3.22361040504341,93.3851466051524
250,2500,935.058186117921,9286.88057388532,56.6708891962883,0.0853005230876499,16.5388170177094,174.259913700588,0.168687839814229,1.86060109271718,0.0102236310218965,0.0768092321428355,16.5388170177094,193.524415974199,0.0137668100123686,3.22082785550644,93.9430106611747
25,2500,1003.99472322016,12346.9934521316,65.5932020801507,0.0700625571057522,15.2394045026807,199.20889993762,0.18326775031459,2.50406724797178,0.0119732886071389,0.0630602709362484,15.2394045026807,221.329288958554,0.0138828012632847,3.21961546766239,116.937407227132
2.5,2500,949.996838998164,10825.1992485987,60.6523198911541,0.074967484343624,15.576382096205,186.825280752801,0.17493499671956,2.21545615512075,0.0111686828267576,0.0674528365905183,15.576382096205,207.638729781715,0.0139695703053335,3.28535920865678,105.74966528793
0.0,2500,1005.13509601256,11864.9008132695,63.6578815607312,0.073615137786263,15.7322454202981,195.802825776134,0.18345257421283,2.40597750629747,0.0116185399232201,0.0662581111850007,15.7322454202981,217.543961647261,0.0138815429500755,3.23889436017943,111.829158501116
25000,250,8528.89495886856,907.596305566859,60.7909492150729,8.94408797918071,139.617667313998,15.267128432182,1.44968224843666,0.170937264276975,0.0103328227593035,8.07183151186777,139.617667313998,16.9169214801029,0.0131914751154047,3.20959184136199,86.4257635056145
2500,250,2013.36908050528,2878.57985448501,57.1674215371033,0.595806674315371,35.646923459636,53.3458160387094,0.368943466657402,0.586148929596584,0.010475747783149,0.536181837527852,35.646923459636,59.2780117081306,0.0139211510460598,3.15727458958009,86.7457702383109
250,250,985.406525376425,8885.98384307216,65.3366605626179,0.0930929041723209,14.9157338394466,144.218787966476,0.177228752478032,1.77464991448534,0.0117510231000044,0.0838355373575817,14.9157338394466,160.143851058613,0.0137368264898795,3.15306145270615,114.761727092285
