Iteration	logLikelihood	logPrior	sigma	e76	e81	aYFP	aCFP	KGR_76	KGS_76	KGR_81	KGS_81	KR6	KS6	KR12	KS12	nR	nS	aR33	aS175	dR	dYFP	dCFP	autoCFP	autoYFP	aL	aT	nL	nT	dL	dT	iA	iI	yb0_exrep	cb0_exrep
0	-186473.371132843	-1582.30132185431	41.7945851018067	0.0202865557009121	0.0067684776791704	31094.9671219019	25207.9677298489	8.3882221425568	0.000168171093425116	0.0163359469171695	11.9205550755432	0.000156557039635804	4.48114404893496E-06	1.01066702797677E-08	0.0280554386930894	0.778199960713957	1.07687142992447	9.40704617563668	2.95618981796711	9.98961942701096	0.146725941494678	0.462089883256722	268.737077589043	7.87767414610175	54.8238125097011	42.2307648496754	0.647966454431278	2.24439586588148	0.460663759693494	2.01829925133212	0.113907800314239	105.708535571564	87.1945222039833	1962.70282539942
1	-186468.349898164	-1582.43834162202	42.1848477013087	0.0202981470236177	0.00673679928222551	31094.9671219019	25104.2420457497	8.37028769815701	0.000175781941917963	0.016353388520283	11.8788450695151	0.000158367773881667	4.08723270346242E-06	1.0084104388988E-08	0.0279038862121224	0.779499805556996	1.06602125835091	9.40704617563668	2.95618981796711	9.98961942701096	0.146725941494678	0.460598384539126	268.737077589043	8.04063993286749	55.0111151961303	42.3219661166703	0.652919869691242	2.23793545799367	0.468072125794261	2.01866336986968	0.114880674736937	106.014550422697	91.14444969288	1962.70282539942
2	-186469.196992579	-1582.29069338705	41.8725319545308	0.0202981470236177	0.00670175348897629	31256.2060983558	25102.2876686375	8.37028769815701	0.000220105273550545	0.0161532061738127	11.8788450695151	0.000158367773881667	4.08723270346242E-06	1.01635170498067E-08	0.0277747355073112	0.775649245519809	1.06476381053754	9.32325035545982	2.94692400049613	9.98961942701096	0.146753537807738	0.460598384539126	266.90875766317	8.07764680467647	55.1195525916183	42.3491567197023	0.653379288140418	2.23316548240899	0.478263913293037	2.01041491115392	0.115436130878144	105.927912430214	84.393773466459	1948.50725913711
3	-186492.598622678	-1561.61083963966	41.9643315664762	0.0204645942142427	0.00666075419182854	31262.7330385482	25322.8686461827	8.37028769815701	0.000137734144279714	0.0159454957059049	11.8812852150731	0.000158367773881667	4.51968364894899E-06	1.0182666482968E-08	0.0276208616070898	0.775649245519809	1.06285769425892	9.32325035545982	2.94692400049613	9.98961942701096	0.146753537807738	0.458381295265568	267.804666138319	8.05789160951544	55.1195525916183	42.2590506203665	0.649258918289913	2.22957936185919	0.480864896667015	1.99261337976828	0.113075495890345	104.66130934855	82.1053992480926	1904.33189073547
4	-186496.556247769	-1554.42882581532	41.6566028401656	0.0204889014692768	0.00661794027062694	31262.7330385482	25322.8686461827	8.40827294476771	0.000174000121714448	0.0159454957059049	11.8812852150731	0.00015818773156591	4.30754611329579E-06	1.02286123080471E-08	0.0275579320944996	0.775649245519809	1.06720537786318	9.28976607249306	2.94692400049613	9.98961942701096	0.146753537807738	0.4582182619616	267.804666138319	7.96768542707136	55.127333616976	42.2590506203665	0.649258918289913	2.22742754899348	0.478612054866773	2.00287568456766	0.113201181963862	106.48594281203	99.9338708633824	1921.15386777832
5	-186498.266936025	-1552.5929421813	41.7486528663117	0.0203758677125663	0.00657835984525285	31144.4078138731	25417.1842162886	8.48206844433015	0.00021298526167086	0.0162820984423215	11.8812852150731	0.000157288282039477	4.66624420379532E-06	1.01686077509074E-08	0.0277797450032702	0.776762692258154	1.06644712873186	9.28976607249306	2.94692400049613	9.98961942701096	0.145208745532991	0.462269913350185	267.804666138319	7.90979971440606	55.3904588831785	42.2590506203665	0.649258918289913	2.22742754899348	0.470147454246303	1.99069176021458	0.113201181963862	106.48594281203	93.9714032943687	1940.78592887993
6	-186493.629042935	-1556.46073597858	41.4584283594755	0.0201951914611585	0.00657260908359313	31144.4078138731	25385.9585879064	8.48206844433015	0.000128593789398676	0.0164170529259724	11.8206483304605	0.000155419545985381	4.22329677192008E-06	1.01107541067022E-08	0.0277866657168477	0.776107421537825	1.05743503867461	9.28976607249306	2.94692400049613	9.98961942701096	0.145208745532991	0.462269913350185	267.804666138319	7.99750980599655	55.2778140551931	42.258332389418	0.652959741570044	2.23297443436324	0.4730463160362	1.98588218431266	0.11479283439555	106.020757185651	87.47662597752	1966.36821498068
7	-186504.293453172	-1545.40510377938	41.9056059348005	0.0204323811655593	0.00656737278050653	31273.0535221251	25385.9585879064	8.48206844433015	0.000100972068067073	0.016159841008405	11.8322824536566	0.000154592432235931	3.84048953944719E-06	1.01107541067022E-08	0.0277192108432696	0.776433188429133	1.05816900602891	9.28976607249306	2.94692400049613	9.98961942701096	0.145739038331555	0.464704572845253	267.804666138319	7.88935664313454	55.2934804779418	42.2048711716255	0.654830384602926	2.23532294980725	0.486923026177834	1.98020272342902	0.115278228292608	106.020757185651	89.1079740458714	1951.5521864019
8	-186506.828140709	-1539.8816400253	41.7581185757408	0.0207132296168462	0.00661697844376306	31294.3588318752	25385.9585879064	8.48206844433015	0.000100972068067073	0.016159841008405	11.8672881547305	0.000156292206294377	4.13058379074459E-06	1.00921528168141E-08	0.0276044179402656	0.774317719598562	1.06517576724315	9.28152721146413	2.94692400049613	9.97384773882266	0.145561884378029	0.464254844952844	268.071509077857	7.77365341975426	55.829057048056	42.6159993857117	0.650273288459132	2.22848438565973	0.483326175453703	1.98711037884818	0.116036492404159	106.70006369463	91.396304668967	1968.83851000685
9	-186498.964161154	-1544.64351465204	41.7581185757408	0.0206579643167144	0.00665667690114784	31176.0469159756	25385.9585879064	8.54069993173744	0.000141979007275811	0.0160550800490353	11.8875267504442	0.000154298753726869	4.4540643606342E-06	1.02135761623113E-08	0.0273670740263233	0.774707569631847	1.0610633642223	9.27936327694919	2.94541190835089	9.99264544300086	0.145644312085415	0.464254844952844	268.071509077857	7.89874053050152	55.7248308132277	42.6159993857117	0.659300225931076	2.2298423949273	0.497016309829117	2.00130879094847	0.1168095831274	107.6531624597	91.396304668967	1958.09477025871
