mcmcSummary {seed = 10; burnin = 400000; samples = 400000; thin = 500; mle = -241470.654914; aic = 483003.309828; bic = 483255.946377; dic = 483973.233117; numData = 25580}
parameterSummary KGR_76 {mle=179; mean=195; variance=111; median=193; lb=0.0001; ub=1e+03; l68=185; u68=203; l95=181; u95=224; type=Log}
parameterSummary KGR_81 {mle=7.76; mean=6.99; variance=0.374; median=7.11; lb=1e-08; ub=1e+03; l68=6.53; u68=7.57; l95=5.5; u95=7.72; type=Log}
parameterSummary KGS_76 {mle=0.000211; mean=0.000369; variance=6.73e-08; median=0.000273; lb=1e-08; ub=1e+03; l68=0.000178; u68=0.000617; l95=0.000153; u95=0.00111; type=Log}
parameterSummary KGS_81 {mle=11.3; mean=11; variance=0.0252; median=11; lb=0.0001; ub=1e+03; l68=10.9; u68=11.2; l95=10.6; u95=11.3; type=Log}
parameterSummary KR12 {mle=1.16e-05; mean=1.2e-05; variance=2.03e-13; median=1.2e-05; lb=1e-08; ub=1; l68=1.16e-05; u68=1.26e-05; l95=1.12e-05; u95=1.29e-05; type=Log}
parameterSummary KR6 {mle=0.00511; mean=0.00511; variance=3.15e-09; median=0.00511; lb=1e-08; ub=1; l68=0.00506; u68=0.00518; l95=0.00499; u95=0.00521; type=Log}
parameterSummary KS12 {mle=0.000594; mean=0.000608; variance=1.84e-10; median=0.000609; lb=1e-08; ub=1; l68=0.000598; u68=0.000619; l95=0.000566; u95=0.000627; type=Log}
parameterSummary KS6 {mle=1.09e-08; mean=1.04e-08; variance=1.42e-19; median=1.03e-08; lb=1e-08; ub=1; l68=1.01e-08; u68=1.08e-08; l95=1e-08; u95=1.14e-08; type=Log}
parameterSummary a480 {mle=267; mean=267; variance=0.749; median=267; lb=0.001; ub=1e+03; l68=267; u68=268; l95=266; u95=269; type=Log}
parameterSummary a530 {mle=8.43; mean=8.51; variance=0.0559; median=8.51; lb=0.001; ub=1e+03; l68=8.28; u68=8.75; l95=8.05; u95=8.95; type=Log}
parameterSummary aCFP {mle=2.33e+04; mean=2.11e+04; variance=2.66e+06; median=2.15e+04; lb=100; ub=1e+06; l68=1.96e+04; u68=2.27e+04; l95=1.72e+04; u95=2.34e+04; type=Log}
parameterSummary aL {mle=1.48e+03; mean=1.32e+03; variance=7.18e+03; median=1.32e+03; lb=1; ub=1e+04; l68=1.22e+03; u68=1.41e+03; l95=1.16e+03; u95=1.47e+03; type=Log}
parameterSummary aR33 {mle=3.04; mean=3.31; variance=0.0449; median=3.27; lb=1; ub=100; l68=3.07; u68=3.47; l95=3.03; u95=3.81; type=Log}
parameterSummary aS175 {mle=7.04; mean=6.88; variance=0.00433; median=6.86; lb=1; ub=100; l68=6.82; u68=6.94; l95=6.79; u95=7.04; type=Log}
parameterSummary aT {mle=70.9; mean=77.5; variance=48.2; median=76.1; lb=1; ub=1e+04; l68=71.1; u68=80; l95=70.7; u95=97.7; type=Log}
parameterSummary aYFP {mle=1.82e+04; mean=1.82e+04; variance=2.51e+04; median=1.82e+04; lb=100; ub=1e+06; l68=1.8e+04; u68=1.83e+04; l95=1.79e+04; u95=1.85e+04; type=Log}
parameterSummary c0 {mle=0.002; mean=0.002}
parameterSummary dCFP {mle=0.276; mean=0.279; variance=2.22e-05; median=0.279; lb=0.001; ub=1; l68=0.274; u68=0.283; l95=0.269; u95=0.287; type=Log}
parameterSummary dL {mle=1; mean=1}
parameterSummary dR {mle=38.4; mean=38.5; variance=0.672; median=38.7; lb=0.01; ub=100; l68=38; u68=39.1; l95=35.8; u95=39.2; type=Log}
parameterSummary dS {mle=5.48; mean=5.13; variance=0.0457; median=5.17; lb=0.01; ub=100; l68=4.98; u68=5.34; l95=4.55; u95=5.45; type=Log}
parameterSummary dT {mle=1; mean=1}
parameterSummary dYFP {mle=0.187; mean=0.189; variance=6.59e-06; median=0.188; lb=0.001; ub=1; l68=0.186; u68=0.191; l95=0.185; u95=0.194; type=Log}
parameterSummary e76 {mle=0.0143; mean=0.0162; variance=1.79e-06; median=0.0157; lb=0.0001; ub=1; l68=0.0149; u68=0.0176; l95=0.0146; u95=0.0197; type=Log}
parameterSummary e81 {mle=0.000103; mean=0.000112; variance=1.3e-10; median=0.000109; lb=0.0001; ub=1; l68=0.000102; u68=0.000121; l95=0.0001; u95=0.000142; type=Log}
parameterSummary exrep1.K_1 {mle=3.26; mean=3.26}
parameterSummary exrep1.K_10 {mle=3.42; mean=3.42}
parameterSummary exrep1.K_100 {mle=2.35; mean=2.35}
parameterSummary exrep1.K_101 {mle=2.73; mean=2.73}
parameterSummary exrep1.K_102 {mle=2.62; mean=2.62}
parameterSummary exrep1.K_103 {mle=2.59; mean=2.59}
parameterSummary exrep1.K_104 {mle=1.97; mean=1.97}
parameterSummary exrep1.K_105 {mle=2.58; mean=2.58}
parameterSummary exrep1.K_106 {mle=2.81; mean=2.81}
parameterSummary exrep1.K_107 {mle=2.67; mean=2.67}
parameterSummary exrep1.K_108 {mle=2.49; mean=2.49}
parameterSummary exrep1.K_109 {mle=2.47; mean=2.47}
parameterSummary exrep1.K_11 {mle=3.14; mean=3.14}
parameterSummary exrep1.K_110 {mle=2.33; mean=2.33}
parameterSummary exrep1.K_12 {mle=3.09; mean=3.09}
parameterSummary exrep1.K_13 {mle=3.18; mean=3.18}
parameterSummary exrep1.K_14 {mle=3.13; mean=3.13}
parameterSummary exrep1.K_15 {mle=3.13; mean=3.13}
parameterSummary exrep1.K_16 {mle=3.14; mean=3.14}
parameterSummary exrep1.K_17 {mle=3.21; mean=3.21}
parameterSummary exrep1.K_18 {mle=3.14; mean=3.14}
parameterSummary exrep1.K_19 {mle=3.28; mean=3.28}
parameterSummary exrep1.K_2 {mle=3.2; mean=3.2}
parameterSummary exrep1.K_20 {mle=3.11; mean=3.11}
parameterSummary exrep1.K_21 {mle=3.22; mean=3.22}
parameterSummary exrep1.K_22 {mle=3.15; mean=3.15}
parameterSummary exrep1.K_23 {mle=3.22; mean=3.22}
parameterSummary exrep1.K_24 {mle=3.13; mean=3.13}
parameterSummary exrep1.K_25 {mle=2.81; mean=2.81}
parameterSummary exrep1.K_26 {mle=3.17; mean=3.17}
parameterSummary exrep1.K_27 {mle=3.11; mean=3.11}
parameterSummary exrep1.K_28 {mle=3.22; mean=3.22}
parameterSummary exrep1.K_29 {mle=3.22; mean=3.22}
parameterSummary exrep1.K_3 {mle=3.18; mean=3.18}
parameterSummary exrep1.K_30 {mle=3.26; mean=3.26}
parameterSummary exrep1.K_31 {mle=3.37; mean=3.37}
parameterSummary exrep1.K_32 {mle=3.12; mean=3.12}
parameterSummary exrep1.K_33 {mle=3.21; mean=3.21}
parameterSummary exrep1.K_34 {mle=3.11; mean=3.11}
parameterSummary exrep1.K_35 {mle=3.2; mean=3.2}
parameterSummary exrep1.K_36 {mle=3.25; mean=3.25}
parameterSummary exrep1.K_37 {mle=3.17; mean=3.17}
parameterSummary exrep1.K_38 {mle=3.38; mean=3.38}
parameterSummary exrep1.K_39 {mle=3.25; mean=3.25}
parameterSummary exrep1.K_4 {mle=3.12; mean=3.12}
parameterSummary exrep1.K_40 {mle=3.21; mean=3.21}
parameterSummary exrep1.K_41 {mle=3.32; mean=3.32}
parameterSummary exrep1.K_42 {mle=3.2; mean=3.2}
parameterSummary exrep1.K_43 {mle=3.11; mean=3.11}
parameterSummary exrep1.K_44 {mle=2.77; mean=2.77}
parameterSummary exrep1.K_45 {mle=3.23; mean=3.23}
parameterSummary exrep1.K_46 {mle=3.26; mean=3.26}
parameterSummary exrep1.K_47 {mle=3.19; mean=3.19}
parameterSummary exrep1.K_48 {mle=3.31; mean=3.31}
parameterSummary exrep1.K_49 {mle=3.26; mean=3.26}
parameterSummary exrep1.K_5 {mle=2.92; mean=2.92}
parameterSummary exrep1.K_50 {mle=3.25; mean=3.25}
parameterSummary exrep1.K_51 {mle=3.44; mean=3.44}
parameterSummary exrep1.K_52 {mle=3.34; mean=3.34}
parameterSummary exrep1.K_53 {mle=3.32; mean=3.32}
parameterSummary exrep1.K_54 {mle=3.37; mean=3.37}
parameterSummary exrep1.K_55 {mle=3.25; mean=3.25}
parameterSummary exrep1.K_56 {mle=3.33; mean=3.33}
parameterSummary exrep1.K_57 {mle=3.3; mean=3.3}
parameterSummary exrep1.K_58 {mle=3.32; mean=3.32}
parameterSummary exrep1.K_59 {mle=3.25; mean=3.25}
parameterSummary exrep1.K_6 {mle=3.13; mean=3.13}
parameterSummary exrep1.K_60 {mle=3.43; mean=3.43}
parameterSummary exrep1.K_61 {mle=2.63; mean=2.63}
parameterSummary exrep1.K_62 {mle=2.85; mean=2.85}
parameterSummary exrep1.K_63 {mle=2.68; mean=2.68}
parameterSummary exrep1.K_64 {mle=2.64; mean=2.64}
parameterSummary exrep1.K_65 {mle=2.7; mean=2.7}
parameterSummary exrep1.K_66 {mle=2.74; mean=2.74}
parameterSummary exrep1.K_67 {mle=2.6; mean=2.6}
parameterSummary exrep1.K_68 {mle=2.6; mean=2.6}
parameterSummary exrep1.K_69 {mle=2.7; mean=2.7}
parameterSummary exrep1.K_7 {mle=3.26; mean=3.26}
parameterSummary exrep1.K_70 {mle=2.66; mean=2.66}
parameterSummary exrep1.K_71 {mle=2.82; mean=2.82}
parameterSummary exrep1.K_72 {mle=2.87; mean=2.87}
parameterSummary exrep1.K_73 {mle=2.81; mean=2.81}
parameterSummary exrep1.K_74 {mle=2.66; mean=2.66}
parameterSummary exrep1.K_75 {mle=2.71; mean=2.71}
parameterSummary exrep1.K_76 {mle=2.39; mean=2.39}
parameterSummary exrep1.K_77 {mle=2.7; mean=2.7}
