mcmcSummary {seed = 10; burnin = 400000; samples = 400000; thin = 500; mle = -242459.206549; aic = 484976.413099; bic = 485212.750515; dic = 485189.479436; numData = 25580}
parameterSummary KGR_76 {mle=0.0184; mean=0.019; variance=5.01e-07; median=0.0187; lb=0.0001; ub=1e+03; l68=0.0183; u68=0.0199; l95=0.018; u95=0.0202; type=Log}
parameterSummary KGR_81 {mle=0.000457; mean=0.000474; variance=4.5e-10; median=0.00047; lb=1e-08; ub=1e+03; l68=0.000454; u68=0.000497; l95=0.000443; u95=0.000524; type=Log}
parameterSummary KGS_76 {mle=0.000803; mean=0.000552; variance=3.58e-08; median=0.000509; lb=1e-08; ub=1e+03; l68=0.00038; u68=0.000739; l95=0.000285; u95=0.00106; type=Log}
parameterSummary KGS_81 {mle=53; mean=53.3; variance=1.69; median=53.2; lb=0.0001; ub=1e+03; l68=52.2; u68=54.6; l95=49.9; u95=55.7; type=Log}
parameterSummary a480 {mle=269; mean=269; variance=0.632; median=269; lb=0.001; ub=1e+03; l68=268; u68=269; l95=267; u95=270; type=Log}
parameterSummary a530 {mle=7.91; mean=8.09; variance=0.0545; median=8.09; lb=0.001; ub=1e+03; l68=7.85; u68=8.31; l95=7.64; u95=8.56; type=Log}
parameterSummary aCFP {mle=2.46e+04; mean=2.49e+04; variance=9.57e+04; median=2.49e+04; lb=100; ub=1e+06; l68=2.47e+04; u68=2.52e+04; l95=2.44e+04; u95=2.57e+04; type=Log}
parameterSummary aL {mle=3.67e+03; mean=3.71e+03; variance=9.21e+03; median=3.68e+03; lb=1; ub=1e+04; l68=3.63e+03; u68=3.78e+03; l95=3.55e+03; u95=3.95e+03; type=Log}
parameterSummary aR33 {mle=10.7; mean=10.4; variance=1.15; median=10.6; lb=0.1; ub=100; l68=9.12; u68=11.5; l95=8.42; u95=12.1; type=Log}
parameterSummary aS175 {mle=2.76; mean=2.79; variance=0.000619; median=2.8; lb=0.1; ub=100; l68=2.76; u68=2.81; l95=2.73; u95=2.83; type=Log}
parameterSummary aT {mle=66.6; mean=66.1; variance=0.954; median=65.9; lb=1; ub=1e+04; l68=65.1; u68=67.2; l95=64.4; u95=68.1; type=Log}
parameterSummary aYFP {mle=1.69e+04; mean=1.68e+04; variance=9.6e+03; median=1.68e+04; lb=100; ub=1e+06; l68=1.67e+04; u68=1.69e+04; l95=1.66e+04; u95=1.69e+04; type=Log}
parameterSummary c0 {mle=0.002; mean=0.002}
parameterSummary dCFP {mle=0.389; mean=0.391; variance=1.41e-05; median=0.391; lb=0.001; ub=1; l68=0.387; u68=0.395; l95=0.384; u95=0.398; type=Log}
parameterSummary dL {mle=1; mean=1}
parameterSummary dR {mle=10.3; mean=10.1; variance=0.836; median=10.3; lb=0.01; ub=100; l68=9.04; u68=11.1; l95=8.33; u95=11.4; type=Log}
parameterSummary dS {mle=19.8; mean=19.9; variance=0.0988; median=19.8; lb=0.01; ub=100; l68=19.6; u68=20.3; l95=19.3; u95=20.5; type=Log}
parameterSummary dT {mle=1; mean=1}
parameterSummary dYFP {mle=0.136; mean=0.134; variance=1.21e-06; median=0.134; lb=0.001; ub=1; l68=0.133; u68=0.135; l95=0.131; u95=0.136; type=Log}
parameterSummary e76 {mle=0.00797; mean=0.00818; variance=4.75e-08; median=0.00818; lb=0.0001; ub=1; l68=0.00795; u68=0.00842; l95=0.00777; u95=0.00858; type=Log}
parameterSummary e81 {mle=0.00288; mean=0.00329; variance=5.91e-08; median=0.00329; lb=0.0001; ub=1; l68=0.00303; u68=0.00355; l95=0.00283; u95=0.00375; type=Log}
parameterSummary eR12 {mle=2.57e-07; mean=2.01e-07; variance=2.94e-15; median=2.06e-07; lb=1e-08; ub=1; l68=1.36e-07; u68=2.54e-07; l95=1.12e-07; u95=3.11e-07; type=Log}
parameterSummary eS6 {mle=1.04e-08; mean=1.05e-08; variance=1.98e-19; median=1.04e-08; lb=1e-08; ub=1; l68=1.01e-08; u68=1.09e-08; l95=1e-08; u95=1.17e-08; type=Log}
parameterSummary exrep1.K_1 {mle=3.26; mean=3.26}
parameterSummary exrep1.K_10 {mle=3.42; mean=3.42}
parameterSummary exrep1.K_100 {mle=2.35; mean=2.35}
parameterSummary exrep1.K_101 {mle=2.73; mean=2.73}
parameterSummary exrep1.K_102 {mle=2.62; mean=2.62}
parameterSummary exrep1.K_103 {mle=2.59; mean=2.59}
parameterSummary exrep1.K_104 {mle=1.97; mean=1.97}
parameterSummary exrep1.K_105 {mle=2.58; mean=2.58}
parameterSummary exrep1.K_106 {mle=2.81; mean=2.81}
parameterSummary exrep1.K_107 {mle=2.67; mean=2.67}
parameterSummary exrep1.K_108 {mle=2.49; mean=2.49}
parameterSummary exrep1.K_109 {mle=2.47; mean=2.47}
parameterSummary exrep1.K_11 {mle=3.14; mean=3.14}
parameterSummary exrep1.K_110 {mle=2.33; mean=2.33}
